track0;track4;track9;track14;track18;trackPos;angle;speedX;accelerate;brake;steering
-1.0;-1.0;-1.0;-1.0;-1.0;2.78217;-1.79973;-0.0545106;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78211;-1.79976;-0.0574269;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78206;-1.79978;-0.0893257;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78201;-1.79979;-0.0417462;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78195;-1.79985;-0.074336;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78189;-1.79987;-0.0763848;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78184;-1.79989;-0.0581263;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78178;-1.79992;-0.0547655;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78172;-1.79994;-0.083972;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78167;-1.79995;-0.0534039;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78161;-1.79997;-0.0848741;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78156;-1.79997;-0.0548549;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7815;-1.79998;-0.0863929;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78144;-1.79999;-0.059179;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78137;-1.80001;-0.0899297;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78131;-1.80002;-0.0606204;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78125;-1.80005;-0.0916768;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78119;-1.80006;-0.0615507;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78112;-1.80007;-0.087223;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78106;-1.80007;-0.0579592;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.781;-1.80009;-0.0889671;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78094;-1.8001;-0.0601533;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78087;-1.80012;-0.0880758;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78081;-1.80013;-0.0561635;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78075;-1.80014;-0.0864893;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78069;-1.80014;-0.0582241;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78063;-1.80016;-0.0877268;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78057;-1.80015;-0.0598679;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7805;-1.80016;-0.0901249;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78044;-1.80016;-0.0618175;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78037;-1.80017;-0.0919286;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78031;-1.80017;-0.0639785;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78024;-1.80018;-0.0937953;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78017;-1.80018;-0.0658628;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7801;-1.80019;-0.0953371;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78004;-1.80019;-0.0678873;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77997;-1.8002;-0.0973054;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7799;-1.8002;-0.0697577;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77982;-1.80021;-0.0989199;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77975;-1.80023;-0.102256;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77967;-1.80025;-0.102446;0.0;0.0;0.0
