SPEED_X;SPEED_Y;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
0,58909;0,49807;0,50539;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58926;0,49820;0,50537;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58960;0,49806;0,50532;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,59015;0,49824;0,50530;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,59038;0,49864;0,50531;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,59058;0,49889;0,50531;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,59078;0,49890;0,50529;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,59116;0,49877;0,50525;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,59159;0,49658;0,50543;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,59170;0,49598;0,50620;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,59175;0,49926;0,50759;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
