SPEEDX;SPEEDY;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL
43.1654;0.0000;-0.0094;-0.3254;9.4140;14.1353;36.2638;200.0000;25.0227;7.5993;4.8901;0
43.6087;0.0000;-0.0097;-0.3248;9.4073;14.1182;36.2186;200.0000;25.0893;7.6106;4.8956;0
44.0556;0.0000;-0.0100;-0.3242;9.4005;14.1009;36.1732;200.0000;25.1548;7.6222;4.9011;0
44.5059;0.0000;-0.0103;-0.3236;9.3937;14.0832;36.1281;200.0000;25.2208;7.6339;4.9067;0
44.9597;0.0000;-0.0106;-0.3231;9.3866;14.0656;36.0825;200.0000;25.2874;7.6460;4.9123;0
45.4170;0.0000;-0.0109;-0.3225;9.3796;14.0480;36.0372;200.0000;25.3530;7.6583;4.9180;0
45.8780;0.0000;-0.0112;-0.3219;9.3724;14.0303;35.9920;200.0000;25.4186;7.6710;4.9239;0
46.3426;0.0000;-0.0115;-0.3213;9.3650;14.0128;35.9467;200.0000;25.4844;7.6838;4.9296;0
46.8108;0.0000;-0.0119;-0.3207;9.3576;13.9950;35.9015;200.0000;25.5509;7.6971;4.9356;0
47.2827;0.0000;-0.0122;-0.3201;9.3497;13.9771;35.8555;200.0000;25.6177;7.7111;4.9421;0
47.7583;0.0000;-0.0126;-0.3195;9.3419;13.9595;35.8105;200.0000;25.6835;7.7250;4.9483;0
48.2377;0.0000;-0.0130;-0.3188;9.3339;13.9420;35.7652;200.0000;25.7489;7.7390;4.9546;0
48.7208;0.0000;-0.0134;-0.3182;9.3257;13.9245;35.7202;200.0000;25.8151;7.7538;4.9611;0
49.2077;0.0000;-0.0138;-0.3175;9.3172;13.9067;35.6750;200.0000;25.8811;7.7691;4.9679;0
49.6984;0.0000;-0.0142;-0.3169;9.3087;13.8890;35.6295;200.0000;25.9471;7.7849;4.9747;0
50.1930;0.0000;-0.0146;-0.3160;9.2983;13.8691;35.5783;200.0000;26.0218;7.8040;4.9832;0
50.6915;0.0000;-0.0150;-0.3151;9.2876;13.8490;35.5267;200.0000;26.0972;7.8238;4.9922;0
51.1939;0.0000;-0.0154;-0.3141;9.2765;13.8289;35.4752;200.0000;26.1725;7.8443;5.0013;0
51.7003;0.0000;-0.0159;-0.3132;9.2649;13.8085;35.4229;200.0000;26.2484;7.8660;5.0109;0
